omega_m,lane,null_type,l2,threshold,passes
0.3115,bohmian_q,off_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3115,bohmian_q,gaussian_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3115,bohmian_q,plateau_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3115,bohmian_q,unified_dmde_proxy_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3115,cross_lane,alpha_zero_vs_q_off,0.013029141165722038,1e-08,False
0.312,bohmian_q,off_at_zero_amplitude_vs_off,0.0,1e-08,True
0.312,bohmian_q,gaussian_at_zero_amplitude_vs_off,0.0,1e-08,True
0.312,bohmian_q,plateau_at_zero_amplitude_vs_off,0.0,1e-08,True
0.312,bohmian_q,unified_dmde_proxy_at_zero_amplitude_vs_off,0.0,1e-08,True
0.312,cross_lane,alpha_zero_vs_q_off,0.013735795760250774,1e-08,False
0.3125,bohmian_q,off_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3125,bohmian_q,gaussian_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3125,bohmian_q,plateau_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3125,bohmian_q,unified_dmde_proxy_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3125,cross_lane,alpha_zero_vs_q_off,0.12101922216455833,1e-08,False
0.313,bohmian_q,off_at_zero_amplitude_vs_off,0.0,1e-08,True
0.313,bohmian_q,gaussian_at_zero_amplitude_vs_off,0.0,1e-08,True
0.313,bohmian_q,plateau_at_zero_amplitude_vs_off,0.0,1e-08,True
0.313,bohmian_q,unified_dmde_proxy_at_zero_amplitude_vs_off,0.0,1e-08,True
0.313,cross_lane,alpha_zero_vs_q_off,0.014002834242286351,1e-08,False
0.3135,bohmian_q,off_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3135,bohmian_q,gaussian_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3135,bohmian_q,plateau_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3135,bohmian_q,unified_dmde_proxy_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3135,cross_lane,alpha_zero_vs_q_off,0.006540507202518404,1e-08,False
0.314,bohmian_q,off_at_zero_amplitude_vs_off,0.0,1e-08,True
0.314,bohmian_q,gaussian_at_zero_amplitude_vs_off,0.0,1e-08,True
0.314,bohmian_q,plateau_at_zero_amplitude_vs_off,0.0,1e-08,True
0.314,bohmian_q,unified_dmde_proxy_at_zero_amplitude_vs_off,0.0,1e-08,True
0.314,cross_lane,alpha_zero_vs_q_off,0.0600356174773072,1e-08,False
0.3145,bohmian_q,off_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3145,bohmian_q,gaussian_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3145,bohmian_q,plateau_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3145,bohmian_q,unified_dmde_proxy_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3145,cross_lane,alpha_zero_vs_q_off,0.29024028688146664,1e-08,False
0.315,bohmian_q,off_at_zero_amplitude_vs_off,0.0,1e-08,True
0.315,bohmian_q,gaussian_at_zero_amplitude_vs_off,0.0,1e-08,True
0.315,bohmian_q,plateau_at_zero_amplitude_vs_off,0.0,1e-08,True
0.315,bohmian_q,unified_dmde_proxy_at_zero_amplitude_vs_off,0.0,1e-08,True
0.315,cross_lane,alpha_zero_vs_q_off,1.3399854907626991,1e-08,False
0.3155,bohmian_q,off_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3155,bohmian_q,gaussian_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3155,bohmian_q,plateau_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3155,bohmian_q,unified_dmde_proxy_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3155,cross_lane,alpha_zero_vs_q_off,0.20890099776283763,1e-08,False
0.316,bohmian_q,off_at_zero_amplitude_vs_off,0.0,1e-08,True
0.316,bohmian_q,gaussian_at_zero_amplitude_vs_off,0.0,1e-08,True
0.316,bohmian_q,plateau_at_zero_amplitude_vs_off,0.0,1e-08,True
0.316,bohmian_q,unified_dmde_proxy_at_zero_amplitude_vs_off,0.0,1e-08,True
0.316,cross_lane,alpha_zero_vs_q_off,0.021650056126597535,1e-08,False
0.3165,bohmian_q,off_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3165,bohmian_q,gaussian_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3165,bohmian_q,plateau_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3165,bohmian_q,unified_dmde_proxy_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3165,cross_lane,alpha_zero_vs_q_off,0.021459151306322692,1e-08,False
0.317,bohmian_q,off_at_zero_amplitude_vs_off,0.0,1e-08,True
0.317,bohmian_q,gaussian_at_zero_amplitude_vs_off,0.0,1e-08,True
0.317,bohmian_q,plateau_at_zero_amplitude_vs_off,0.0,1e-08,True
0.317,bohmian_q,unified_dmde_proxy_at_zero_amplitude_vs_off,0.0,1e-08,True
0.317,cross_lane,alpha_zero_vs_q_off,0.6207046087387555,1e-08,False
